Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
conBot-R-CPL-GenZ/10,5.761967889348257e-7,5.717565536371031e-7,5.854292150191863e-7,2.4182272760280513e-8,1.260240949255438e-8,4.3242781850688985e-8
conBot-R-CPL-GenZ/20,7.322772229637993e-7,7.299151514917437e-7,7.373465787509048e-7,1.2330150025078043e-8,7.123403337626134e-9,2.210301479361831e-8
conBot-R-CPL-GenZ/30,9.18003542270406e-7,9.153266964059049e-7,9.223735604102411e-7,1.3162671648995577e-8,9.567054044418439e-9,2.147766305413243e-8
conBot-R-CPL-GenZ/40,1.0994882976780872e-6,1.0958271234445604e-6,1.1051038665267508e-6,1.7905228138196592e-8,1.2936073228332514e-8,2.8484893780107417e-8
conBot-R-CPL-GenZ/50,1.2955771718284084e-6,1.2921095663797514e-6,1.3020435661938626e-6,1.8562266130061062e-8,1.1984905950567499e-8,3.2804219956026626e-8
conBot-R-CPL-GenZ/60,1.4814256095555142e-6,1.4776748919026664e-6,1.4861977242017953e-6,1.5788174173945374e-8,1.2085927408919751e-8,2.1308982471412282e-8
conBot-R-CPL-GenZ/70,1.668158710652644e-6,1.6636640493402711e-6,1.6731956078598526e-6,1.770672397450214e-8,1.4054308135724042e-8,2.360453230896733e-8
conBot-R-CPL-GenZ/80,1.8593531196821042e-6,1.854617720881673e-6,1.8671185161652222e-6,2.2024231859470495e-8,1.5392566520668484e-8,3.4919987936668525e-8
conBot-R-CPL-GenZ/90,2.049160693971073e-6,2.044790428044071e-6,2.0575023006096656e-6,2.2294489440617925e-8,1.3839960295668908e-8,3.8474137453784685e-8
conBot-R-CPL-GenZ/100,2.2493252335401903e-6,2.2429537822065937e-6,2.258785686888196e-6,3.035357818772043e-8,2.2567611416254783e-8,4.72314951602983e-8
conBot-R-IPL-GenZ/10,1.3313928852347291e-6,1.328013439319311e-6,1.338549076040664e-6,1.8218544358921353e-8,1.0622647464372537e-8,3.2854167223676455e-8
conBot-R-IPL-GenZ/20,1.8941540448624114e-6,1.8884639363337937e-6,1.9049394680219292e-6,2.839111830559005e-8,1.6143867210425135e-8,5.161495031899211e-8
conBot-R-IPL-GenZ/30,2.4844858934387636e-6,2.472020455572179e-6,2.510254887956158e-6,6.588954443778951e-8,4.2136692118195536e-8,1.1095533557944816e-7
conBot-R-IPL-GenZ/40,3.0781466811101986e-6,3.0576730797949974e-6,3.100768578448177e-6,8.899144578775461e-8,7.32702927624446e-8,1.0786648080707919e-7
conBot-R-IPL-GenZ/50,3.588062567279815e-6,3.577282211042714e-6,3.6264474988482597e-6,6.971566196281142e-8,2.624584686296874e-8,1.415691695671555e-7
conBot-R-IPL-GenZ/60,4.161415234283641e-6,4.147367290131138e-6,4.184173541670284e-6,7.0231305055933e-8,4.6015936496772005e-8,1.1969203018015333e-7
conBot-R-IPL-GenZ/70,4.7421095065248575e-6,4.72376414995745e-6,4.784624063781462e-6,1.0317194881535883e-7,5.2175927636826974e-8,1.9767106441078837e-7
