n    conPie-L-IPL-GenT  conPie-L-IPL-GenZ  conPie-R-IPL-GenT  conPie-R-IPL-GenZ
10   0.0008385          0.0003628          0.0009850          0.0000090
20   0.0055999          0.0026766          0.0069197          0.0000110
30   0.0185131          0.0090976          0.0225444          0.0000124
40   0.0438716          0.0217214          0.0554128          0.0000144
50   0.0865150          0.0427680          0.1055864          0.0000165
60   0.1520687          0.0754321          0.1907061          0.0000186
70   0.2431434          0.1210535          0.3068136          0.0000207
80   0.3703095          0.1820879          0.4453613          0.0000228
90   0.5403114          0.2618591          0.6613526          0.0000248
100  0.7324321          0.3634066          0.8961379          0.0000270
