Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
disPhiPie-R-G3C-Zip/10,2.3818635165696526e-5,2.3760930205985765e-5,2.391033754669205e-5,2.8358378000000604e-7,2.2728458146925088e-7,3.501080082621207e-7
disPhiPie-R-G3C-Zip/20,4.785751896663981e-5,4.772680410616445e-5,4.81602399989799e-5,6.970115763514001e-7,3.837174704046552e-7,1.1139608139713535e-6
disPhiPie-R-G3C-Zip/30,8.503967192595796e-5,8.464817986576411e-5,8.56043503715559e-5,1.8213227359981955e-6,1.4235451757488691e-6,2.307395567499058e-6
disPhiPie-R-G3C-Zip/40,1.321182426311862e-4,1.3155711070152263e-4,1.3292174402703636e-4,2.6420850832378865e-6,1.9461390536756163e-6,3.5502880124519216e-6
disPhiPie-R-G3C-Zip/50,1.8837098436881168e-4,1.878258434300954e-4,1.8938103823412203e-4,2.731221784427723e-6,1.7520922466301749e-6,4.558156569000999e-6
disPhiPie-R-G3C-Zip/60,2.550505837139897e-4,2.5440297970396214e-4,2.564280350460327e-4,3.5675879363035205e-6,1.543998284926029e-6,6.396671247238824e-6
disPhiPie-R-G3C-Zip/70,3.328444354775197e-4,3.3183757173394955e-4,3.345036797931241e-4,4.853326381723042e-6,3.1907523314677765e-6,7.521933282134066e-6
disPhiPie-R-G3C-Zip/80,4.19855399680733e-4,4.188185464418122e-4,4.225639343964182e-4,5.943885409109087e-6,3.2913409091023163e-6,1.0825446103549953e-5
disPhiPie-R-G3C-Zip/90,5.179277509791004e-4,5.164438487392014e-4,5.20877897589194e-4,7.321548608230574e-6,4.086875746652774e-6,1.2757456625410921e-5
disPhiPie-R-G3C-Zip/100,6.255050522561958e-4,6.238970335176699e-4,6.286191101020745e-4,8.530181557240274e-6,5.659889986586736e-6,1.2480581683175662e-5
disPhiPie-R-G3I-Zip/10,4.522338428726926e-4,4.509758344987988e-4,4.5467792272199523e-4,6.23310679299655e-6,3.181040547445011e-6,1.0718435506764935e-5
disPhiPie-R-G3I-Zip/20,2.8706593043364673e-3,2.8648789547659585e-3,2.8852124688317237e-3,3.105167999434912e-5,1.4098757024510349e-5,5.934220724274213e-5
disPhiPie-R-G3I-Zip/30,9.211105925900418e-3,9.189167313567373e-3,9.266069865527509e-3,1.009031583907313e-4,3.372230084296298e-5,1.6970283514727293e-4
disPhiPie-R-G3I-Zip/40,2.143970567271671e-2,2.1375853170478566e-2,2.1561771031003017e-2,2.3531260401226569e-4,1.3727500978664623e-4,3.7258514507127247e-4
disPhiPie-R-G3I-Zip/50,4.204087694308231e-2,4.1815837113352294e-2,4.25031166297655e-2,7.724036072584382e-4,4.721521773473395e-4,1.232452122830243e-3
disPhiPie-R-G3I-Zip/60,7.379540133233656e-2,7.323545744771556e-2,7.443607842251712e-2,1.2102401752429421e-3,9.535006282756689e-4,1.690501937979587e-3
disPhiPie-R-G3I-Zip/70,0.12005635467658687,0.1181720796109908,0.12223971703908276,3.743725695032236e-3,3.0473571841746483e-3,4.6702616877260395e-3
disPhiPie-R-G3I-Zip/80,0.1764144216524824,0.17503098800416844,0.17797656712207552,2.4898975048957632e-3,1.6806618295464129e-3,3.927587764025478e-3
disPhiPie-R-G3I-Zip/90,0.2512040440125475,0.24838281553356864,0.25599438304670913,5.6272775752531316e-3,3.818482213173919e-3,7.815237904955195e-3
disPhiPie-R-G3I-Zip/100,0.34582283214224346,0.342549386857302,0.3497278912849243,5.215878421004632e-3,3.831247317940086e-3,6.698759025664643e-3
disPhiPie-R-G3C-Tree/10,2.2330104123712004e-5,2.2278722023338062e-5,2.2421447226688213e-5,2.717360492714933e-7,1.6446873282756005e-7,4.297199801761992e-7
disPhiPie-R-G3C-Tree/20,4.951637002174805e-5,4.9396808922163485e-5,4.972338950036459e-5,5.920831273882776e-7,3.519281901353605e-7,8.62074486901976e-7
disPhiPie-R-G3C-Tree/30,8.684215772990975e-5,8.670201472986762e-5,8.706512170990984e-5,7.030616431421337e-7,4.3711078865223223e-7,9.948520313257659e-7
disPhiPie-R-G3C-Tree/40,1.351323942910951e-4,1.345385158814071e-4,1.36169449013575e-4,2.9575135511411125e-6,1.5413642669559755e-6,4.834351678966243e-6
disPhiPie-R-G3C-Tree/50,1.920716792313654e-4,1.9181387796366443e-4,1.9260544623829473e-4,1.423139464669143e-6,6.06377551201311e-7,2.3948715635102844e-6
disPhiPie-R-G3C-Tree/60,2.594280798640668e-4,2.5915774487054267e-4,2.602912011679231e-4,1.651651929366225e-6,6.394257727533901e-7,3.2995209203029667e-6
disPhiPie-R-G3C-Tree/70,3.394878713144581e-4,3.3840468475402865e-4,3.4111953776180885e-4,5.357416772076498e-6,3.985011357238096e-6,7.064871083750992e-6
disPhiPie-R-G3C-Tree/80,4.2599659982041105e-4,4.25479696036929e-4,4.270277908966644e-4,2.7002226615163707e-6,1.5877065927687688e-6,4.349063510082094e-6
disPhiPie-R-G3C-Tree/90,5.230299170383662e-4,5.22529496452949e-4,5.243378925036574e-4,2.7377995937199792e-6,1.3148947310734932e-6,5.559538739173092e-6
disPhiPie-R-G3C-Tree/100,6.329014331605327e-4,6.321332388189907e-4,6.347250326306237e-4,4.182336842179075e-6,1.5327211953634094e-6,7.993386334864652e-6
disPhiPie-R-G3I-Tree/10,4.5131362961911304e-4,4.5033399874225874e-4,4.5283679550769403e-4,4.951438672599529e-6,3.4228806300275033e-6,6.937438743184345e-6
disPhiPie-R-G3I-Tree/20,2.8794851004708727e-3,2.863880068880705e-3,2.938425901117095e-3,1.0454465862281291e-4,1.7867700307837907e-5,2.2186090863126408e-4
disPhiPie-R-G3I-Tree/30,9.193926774737907e-3,9.181005265946944e-3,9.21029102641748e-3,4.8206215646092155e-5,3.239559210228926e-5,7.094507656653518e-5
disPhiPie-R-G3I-Tree/40,2.137137773418426e-2,2.134748546435117e-2,2.142665038914146e-2,9.009613191519514e-5,4.67288924077902e-5,1.6404858030541545e-4
disPhiPie-R-G3I-Tree/50,4.178611196539793e-2,4.1641243971389054e-2,4.226949798438209e-2,5.830626042107712e-4,1.3939698633626501e-4,1.1569031538123384e-3
