n    TreeL         TreeR         ZipL          ZipR
10   0.0000046     0.0000048     0.0000021     0.0000004
20   0.0000096     0.0000109     0.0000044     0.0000006
30   0.0000151     0.0000186     0.0000075     0.0000007
40   0.0000211     0.0000274     0.0000110     0.0000009
50   0.0000278     0.0000385     0.0000151     0.0000010
60   0.0000351     0.0000499     0.0000197     0.0000012
70   0.0000429     0.0000635     0.0000250     0.0000013
80   0.0000515     0.0000786     0.0000308     0.0000015
90   0.0000604     0.0000973     0.0000372     0.0000016
100  0.0000697     0.0001131     0.0000441     0.0000018
