n    TreeL         TreeR         ZipL          ZipR
10   0.0000460     0.0000504     0.0000391     0.0000390
20   0.0001016     0.0001166     0.0000784     0.0000868
30   0.0001696     0.0002029     0.0001326     0.0001558
40   0.0002506     0.0003056     0.0001983     0.0002238
50   0.0003488     0.0004295     0.0002744     0.0003177
60   0.0004430     0.0005497     0.0003601     0.0004365
70   0.0005710     0.0007111     0.0004567     0.0005486
80   0.0007276     0.0008479     0.0005763     0.0006768
90   0.0008358     0.0010148     0.0006856     0.0008668
100  0.0009903     0.0012158     0.0008165     0.0010469
