n    TreeL         TreeR         ZipL          ZipR
10   0.0000175     0.0000203     0.0000172     0.0000173
20   0.0000424     0.0000494     0.0000388     0.0000450
30   0.0000775     0.0000935     0.0000724     0.0000863
40   0.0001229     0.0001459     0.0001171     0.0001416
50   0.0001801     0.0002182     0.0001709     0.0002088
60   0.0002463     0.0003171     0.0002361     0.0002911
70   0.0003233     0.0003928     0.0003112     0.0003955
80   0.0004133     0.0005430     0.0003952     0.0005093
90   0.0005062     0.0006253     0.0004879     0.0006277
100  0.0006165     0.0007635     0.0005980     0.0007452
