n    TreeL         TreeR         ZipL          ZipR
10   0.0000158     0.0000175     0.0000151     0.0000159
20   0.0000403     0.0000472     0.0000374     0.0000438
30   0.0000753     0.0000895     0.0000713     0.0000849
40   0.0001216     0.0001456     0.0001152     0.0001387
50   0.0001758     0.0002134     0.0001679     0.0002065
60   0.0002425     0.0002948     0.0002320     0.0002853
70   0.0003198     0.0003870     0.0003076     0.0003771
80   0.0004039     0.0004963     0.0003960     0.0004859
90   0.0004991     0.0006131     0.0004902     0.0006025
100  0.0006089     0.0007483     0.0005956     0.0007318
