n    TreeL         TreeR         ZipL          ZipR
10   0.0000375     0.0000461     0.0000158     0.0000009
20   0.0002295     0.0002412     0.0000899     0.0000012
30   0.0007194     0.0007634     0.0002718     0.0000017
40   0.0016644     0.0017161     0.0006155     0.0000021
50   0.0032782     0.0032747     0.0011761     0.0000024
60   0.0058592     0.0059566     0.0020344     0.0000027
70   0.0097028     0.0088879     0.0032363     0.0000031
80   0.0142918     0.0133621     0.0048520     0.0000035
90   0.0202011     0.0182388     0.0069780     0.0000038
100  0.0280988     0.0227254     0.0096789     0.0000044
