n    TreeL         TreeR         ZipL          ZipR
10   0.0005667     0.0006126     0.0001692     0.0000055
20   0.0035058     0.0041552     0.0011540     0.0000077
30   0.0112213     0.0128847     0.0037714     0.0000092
40   0.0262337     0.0292442     0.0086408     0.0000110
50   0.0516354     0.0574147     0.0170540     0.0000125
60   0.0893917     0.0903319     0.0296351     0.0000144
70   0.1430868     0.1436079     0.0475275     0.0000163
80   0.2141113     0.2253879     0.0722458     0.0000181
90   0.3089455     0.3328831     0.1030312     0.0000199
100  0.4213704     0.4554319     0.1444545     0.0000218
