n    TreeL         TreeR         ZipL          ZipR
10   0.0002233     0.0004339     0.0002226     0.0004343
20   0.0013660     0.0032736     0.0013573     0.0033098
30   0.0044043     0.0112294     0.0043455     0.0113934
40   0.0104347     0.0283675     0.0102161     0.0285523
50   0.0207519     0.0540978     0.0201441     0.0550129
60   0.0348354     0.0967292     0.0344975     0.0988716
70   0.0560415     0.1555679     0.0554383     0.1571708
80   0.0836503     0.2307751     0.0835725     0.2251795
90   0.1204750     0.3419187     0.1207121     0.3327933
100  0.1665056     0.4743722     0.1667799     0.4587034
