n    TreeL         TreeR         ZipL          ZipR
10   0.0002111     0.0004261     0.0002309     0.0004222
20   0.0013560     0.0033973     0.0013316     0.0034294
30   0.0043518     0.0121045     0.0043228     0.0121782
40   0.0101702     0.0289847     0.0101530     0.0291312
50   0.0198581     0.0595580     0.0198306     0.0586451
60   0.0345269     0.1067584     0.0346417     0.1074201
70   0.0553097     0.1666367     0.0551098     0.1655390
80   0.0839149     0.2474822     0.0828546     0.2480113
90   0.1230439     0.3667780     0.1187008     0.3621206
100  0.1652967     0.5106077     0.1646942     0.5103000
