n    TreeL         TreeR         ZipL          ZipR
10   0.0000068     0.0000064     0.0000039     0.0000007
20   0.0000155     0.0000152     0.0000094     0.0000011
30   0.0000267     0.0000271     0.0000197     0.0000015
40   0.0000402     0.0000410     0.0000259     0.0000018
50   0.0000564     0.0000561     0.0000377     0.0000022
60   0.0000736     0.0000732     0.0000519     0.0000027
70   0.0000933     0.0000983     0.0000699     0.0000030
80   0.0001133     0.0001197     0.0000877     0.0000034
90   0.0001393     0.0001463     0.0001095     0.0000041
100  0.0001684     0.0001803     0.0001301     0.0000041
