n    TreeL         TreeR         ZipL          ZipR
10   0.0000742     0.0000760     0.0000754     0.0000637
20   0.0001942     0.0001979     0.0001702     0.0001708
30   0.0003602     0.0003631     0.0003227     0.0003264
40   0.0005723     0.0005738     0.0005235     0.0005279
50   0.0008465     0.0008488     0.0007636     0.0007747
60   0.0011327     0.0011275     0.0010511     0.0010613
70   0.0014871     0.0014463     0.0013816     0.0014357
80   0.0018762     0.0018323     0.0017506     0.0017949
90   0.0023076     0.0022534     0.0021974     0.0021428
100  0.0027752     0.0026722     0.0026097     0.0024887
