n    TreeL         TreeR         ZipL          ZipR
10   0.0000360     0.0000372     0.0000357     0.0000355
20   0.0001053     0.0001091     0.0001021     0.0001063
30   0.0002113     0.0002192     0.0002066     0.0002148
40   0.0003544     0.0003667     0.0003464     0.0003607
50   0.0005344     0.0005531     0.0005223     0.0005485
60   0.0007445     0.0007717     0.0007383     0.0007665
70   0.0009968     0.0010358     0.0009894     0.0010256
80   0.0012630     0.0013547     0.0012737     0.0013190
90   0.0016341     0.0016799     0.0015911     0.0016480
100  0.0019254     0.0020180     0.0019374     0.0020100
