n    TreeL         TreeR         ZipL          ZipR
10   0.0000390     0.0000396     0.0000348     0.0000382
20   0.0001225     0.0001246     0.0001196     0.0001230
30   0.0002507     0.0002576     0.0002469     0.0002530
40   0.0004232     0.0004382     0.0004213     0.0004312
50   0.0006474     0.0006612     0.0006458     0.0006532
60   0.0009137     0.0009325     0.0008977     0.0009329
70   0.0012211     0.0012503     0.0012143     0.0012525
80   0.0015703     0.0015993     0.0015951     0.0016101
90   0.0019262     0.0020397     0.0019679     0.0020062
100  0.0024043     0.0024590     0.0023832     0.0024508
