Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ZipL/10,3.397164744187217e-5,3.394029026465083e-5,3.4022166160161145e-5,1.2977061032824408e-7,7.598132960430012e-8,2.0194082215460324e-7
ZipL/20,1.0564743475787285e-4,1.0548424654620729e-4,1.0600270788941982e-4,7.714874896770314e-7,3.110000519245734e-7,1.3007945717800104e-6
ZipL/30,2.1590947319182136e-4,2.150255611273719e-4,2.1752865197475186e-4,4.076825691894854e-6,2.548632405258359e-6,5.638906274353232e-6
ZipL/40,3.694953363641704e-4,3.6765212879487846e-4,3.7458751353652847e-4,9.38407634159934e-6,4.696111330731079e-6,1.817215877939606e-5
ZipL/50,5.609116112216137e-4,5.560849619473273e-4,5.745022565154007e-4,2.6746208101629124e-5,1.0435096332922095e-5,5.354656257734203e-5
ZipL/60,7.901031169465093e-4,7.828332477424183e-4,8.054348125979818e-4,3.249689654912503e-5,1.9183154337193917e-5,5.524242908561185e-5
ZipL/70,1.0425376359194422e-3,1.0397276560220649e-3,1.0462182366398909e-3,1.037010775641423e-5,7.971184317656238e-6,1.4240655775562971e-5
ZipL/80,1.3462803481899559e-3,1.3426104710720335e-3,1.3510451628671977e-3,1.3955024814590095e-5,1.1182067855622226e-5,1.8377389425424806e-5
ZipL/90,1.6867499832501022e-3,1.679129478353675e-3,1.696743109071114e-3,2.953139526413507e-5,2.329498684381917e-5,4.227905441125005e-5
ZipL/100,2.0664666379663302e-3,2.057879005570516e-3,2.0766354065658503e-3,3.205075711633921e-5,2.6926876452672705e-5,3.912717364808444e-5
TreeL/10,3.787618134593444e-5,3.760972903673067e-5,3.834606308408296e-5,1.1469650868058038e-6,8.086125428735246e-7,1.7671476524885822e-6
TreeL/20,1.1200616450738186e-4,1.1109398954668675e-4,1.1320205861247125e-4,3.41640949155195e-6,2.7698545318514975e-6,4.706736481636383e-6
TreeL/30,2.2785890957338495e-4,2.2638261346684174e-4,2.306734105614259e-4,6.4044340776673416e-6,4.193962495994118e-6,1.0434515660751138e-5
TreeL/40,3.797022921252451e-4,3.763908222033801e-4,3.830131389619856e-4,1.1049038647254232e-5,1.0026292384621358e-5,1.22615777463472e-5
TreeL/50,5.773788590607759e-4,5.72670343653452e-4,5.87992907656158e-4,2.281280699176808e-5,1.3584411000662786e-5,3.954919741039982e-5
TreeL/60,7.943177516305542e-4,7.910219475268308e-4,7.980477725419658e-4,1.2179883671977612e-5,1.052917069144487e-5,1.4253078584021915e-5
TreeL/70,1.0528127172640394e-3,1.049908594113543e-3,1.0562556392774817e-3,1.0321373233647808e-5,7.434668210311395e-6,1.5415347729114797e-5
TreeL/80,1.3340072390586387e-3,1.3286610465201483e-3,1.3413981549395618e-3,2.160151490582257e-5,1.7954199266254147e-5,2.6250783440406923e-5
TreeL/90,1.7456111300379403e-3,1.7339916327138477e-3,1.7657261809888884e-3,5.559908830383968e-5,3.666664213867829e-5,8.677713253088495e-5
TreeL/100,2.0419268655303083e-3,2.024444188085009e-3,2.0694367335146752e-3,7.238033491510271e-5,4.516130399142663e-5,1.1048513730694711e-4
ZipR/10,3.6363453818795786e-5,3.586189408188174e-5,3.7173902399302565e-5,2.268203952466356e-6,1.4873164081297031e-6,3.896232408988636e-6
ZipR/20,1.0595545514572005e-4,1.0525921695818154e-4,1.0672189286922874e-4,2.5358464740477732e-6,2.0534837672588003e-6,3.165124874964572e-6
ZipR/30,2.1723829168838625e-4,2.146354163384378e-4,2.2351686585367396e-4,1.2574968417449156e-5,3.795408803641973e-6,2.419029489070157e-5
ZipR/40,3.5729894195671557e-4,3.5555680562466765e-4,3.5917064428750634e-4,6.204918392146954e-6,4.970168946638631e-6,8.24876594294869e-6
ZipR/50,5.372370065327674e-4,5.34465472094943e-4,5.411936336354949e-4,1.1094815201332503e-5,8.14282198478392e-6,1.470196551163745e-5
ZipR/60,7.695386929845522e-4,7.638295558185659e-4,7.750627892825685e-4,1.8968694449961937e-5,1.661214669526278e-5,2.2017396916551648e-5
ZipR/70,9.961774774734514e-4,9.937572463779795e-4,9.99186830712431e-4,8.97713024484495e-6,7.536907944968611e-6,1.1148871391529702e-5
ZipR/80,1.2882066183929509e-3,1.283136078007527e-3,1.2946988993575424e-3,1.9829113922349594e-5,1.542524322663264e-5,2.5141777300717592e-5
